"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 13 11:00:32 UTC 2025","Sun Jul 13 11:00:32 UTC 2025","0","tests","Tracker Logic","","","","test_fetch_price",""
"passed","Sun Jul 13 11:00:32 UTC 2025","Sun Jul 13 11:00:32 UTC 2025","1","tests","test_tracker","","","","test_save_to_file",""
"passed","Sun Jul 13 11:00:31 UTC 2025","Sun Jul 13 11:00:32 UTC 2025","103","tests","Graph Generation","","","","test_generate_graph",""
"passed","Sun Jul 13 11:00:31 UTC 2025","Sun Jul 13 11:00:31 UTC 2025","7","tests","Email Sender","","","","test_send_email_mocked",""
